Link: https://www.nytimes.com/2022/07/25/realestate/homeownership-san-diego-tijuana-mexico.html
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
1186,589,328,269

Source,Followers,Date,Interactions,Post Type,Link
Benjamin Ross,5126,Mon Jul 25 2022 18:02:41 GMT+0000,74,Twitter,https://twitter.com/BenRossTransit/status/1551629022794235904
Fidel Martinez,9292,Mon Jul 25 2022 18:28:01 GMT+0000,41,Twitter,https://twitter.com/fidmart85/status/1551635397255565312
Francisco dela Torre,7458,Mon Jul 25 2022 21:49:27 GMT+0000,19,Twitter,https://twitter.com/fdelatg/status/1551686091647885313
Tifani Roberts,96015,Mon Jul 25 2022 12:20:24 GMT+0000,14,Twitter,https://twitter.com/TifaniRoberts/status/1551542884897275910
Debra Kamin,1829,Mon Jul 25 2022 15:31:04 GMT+0000,8,Twitter,https://twitter.com/debra_kamin/status/1551590867500253185
Democratic Socialism Now,1475,Mon Jul 25 2022 12:45:56 GMT+0000,7,Twitter,https://twitter.com/DemSocNow/status/1551549311669964809
Carlos González Gtez,8739,Mon Jul 25 2022 22:39:42 GMT+0000,5,Twitter,https://twitter.com/carlos_glezgtez/status/1551698735180222464
Adam Mahoney (he/him),5377,Mon Jul 25 2022 15:18:22 GMT+0000,5,Twitter,https://twitter.com/AdamLMahoney/status/1551587669628465152
Matt Henry,1362,Mon Jul 25 2022 22:43:02 GMT+0000,4,Twitter,https://twitter.com/heymatthenry/status/1551699576586919938
E.H. Hau #GetVaccinated 🍁🌈 🏳️‍⚧️ 🇺🇦,95677,Mon Jul 25 2022 21:14:40 GMT+0000,3,Twitter,https://twitter.com/ActionTime/status/1551677337724276736
MittieMooreWilson🗽💋💅🏿🔮,131,Mon Jul 25 2022 20:45:03 GMT+0000,2,Twitter,https://twitter.com/dirtydeb95/status/1551669883938775042
Serge Dedina,1841,Mon Jul 25 2022 14:47:53 GMT+0000,2,Twitter,https://twitter.com/sergededina/status/1551579997604700162
News Pug,1248,Mon Jul 25 2022 14:27:09 GMT+0000,2,Twitter,https://twitter.com/news_pug/status/1551574783166500864
Tony Romm,37172,Mon Jul 25 2022 12:27:47 GMT+0000,2,Twitter,https://twitter.com/TonyRomm/status/1551544741405364226
J.P. Freire,8144,Mon Jul 25 2022 12:02:07 GMT+0000,2,Twitter,https://twitter.com/JPFreire/status/1551538282068164608
Anthony LaMesa,13889,Tue Jul 26 2022 02:40:58 GMT+0000,1,Twitter,https://twitter.com/ajlamesa/status/1551759451883020291
Toshi Clark,824,Mon Jul 25 2022 23:18:31 GMT+0000,1,Twitter,https://twitter.com/maximumcharacte/status/1551708506381660160
Oscar Casillas,740,Mon Jul 25 2022 23:12:13 GMT+0000,1,Twitter,https://twitter.com/oscarcasillas/status/1551706921081704453
Melisa Cabello Cuahutle,203,Mon Jul 25 2022 23:08:13 GMT+0000,1,Twitter,https://twitter.com/MelisaCabelloC/status/1551705914222137345
Juan Pablo Garnham,3413,Mon Jul 25 2022 22:24:56 GMT+0000,1,Twitter,https://twitter.com/jpgarnham/status/1551695019781722112
LA FAN,72,Mon Jul 25 2022 19:55:12 GMT+0000,1,Twitter,https://twitter.com/LosAngelesFanz/status/1551657339182231552
Brian Hanna,1269,Mon Jul 25 2022 19:22:32 GMT+0000,1,Twitter,https://twitter.com/_BrianHanna/status/1551649116429553664
hanson o'haver,3601,Mon Jul 25 2022 16:29:02 GMT+0000,1,Twitter,https://twitter.com/HansonOHaver/status/1551605455780286465
Hacker News記事題日本語翻訳,1679,Mon Jul 25 2022 15:42:02 GMT+0000,1,Twitter,https://twitter.com/hackernewsj/status/1551593624705679360
Amb Antonio Garza,9305,Mon Jul 25 2022 15:40:09 GMT+0000,1,Twitter,https://twitter.com/aogarza/status/1551593150975823873
Mariana V. Triay,895,Mon Jul 25 2022 14:23:03 GMT+0000,1,Twitter,https://twitter.com/vtriay/status/1551573751002583040
Tyler Orsburn,566,Mon Jul 25 2022 13:59:07 GMT+0000,1,Twitter,https://twitter.com/tylerorsburn/status/1551567726912610304
Nikki Usher,11210,Mon Jul 25 2022 13:46:03 GMT+0000,1,Twitter,https://twitter.com/nikkiusher/status/1551564437873623040
richard p. mchugh,2795,Mon Jul 25 2022 13:19:19 GMT+0000,1,Twitter,https://twitter.com/gorevidal/status/1551557711879458817
HN Front Page,2480,Mon Jul 25 2022 13:02:51 GMT+0000,1,Twitter,https://twitter.com/hn_frontpage/status/1551553566128619520
WhyNotHomes.com,340,Mon Jul 25 2022 10:04:34 GMT+0000,1,Twitter,https://twitter.com/whynothomes/status/1551508699147128834
Clairemont Volunteers,2,Tue Jul 26 2022 03:34:12 GMT+0000,0,Twitter,https://twitter.com/ClairemontVols/status/1551772848946958336
James Conner,1709,Tue Jul 26 2022 03:22:30 GMT+0000,0,Twitter,https://twitter.com/jrcflatheadmemo/status/1551769903920709633
Scarletqueen,20,Tue Jul 26 2022 02:55:00 GMT+0000,0,Twitter,https://twitter.com/rachelb76661850/status/1551762983545671680
Ricardo Parra,460,Tue Jul 26 2022 02:51:51 GMT+0000,0,Twitter,https://twitter.com/ricardonotes/status/1551762193020080134
Christine Wang,2058,Tue Jul 26 2022 02:11:07 GMT+0000,0,Twitter,https://twitter.com/christiiineeee/status/1551751941897977857
Zacharie Goudreault,2167,Tue Jul 26 2022 01:19:35 GMT+0000,0,Twitter,https://twitter.com/zac_goudreault/status/1551738971948023809
Billy Ray,5,Tue Jul 26 2022 01:11:12 GMT+0000,0,Twitter,https://twitter.com/BillyRa40593679/status/1551736862527459328
OGhostWhoWalks,65,Tue Jul 26 2022 00:16:05 GMT+0000,0,Twitter,https://twitter.com/OGhostWhoWalks/status/1551722993226743808
Ian Gary,6163,Tue Jul 26 2022 00:15:39 GMT+0000,0,Twitter,https://twitter.com/Ianpgary/status/1551722882979532800
Luis Armendariz,616,Mon Jul 25 2022 23:12:41 GMT+0000,0,Twitter,https://twitter.com/luisarmendariz/status/1551707035455987713
ニュース記事で英語学習,62,Mon Jul 25 2022 23:01:30 GMT+0000,0,Twitter,https://twitter.com/eztango/status/1551704222919688193
Carlo,4987,Mon Jul 25 2022 22:41:43 GMT+0000,0,Twitter,https://twitter.com/CarloTresero/status/1551699244037427200
