Link: https://www.nytimes.com/2022/07/25/us/politics/marc-short-pence-jan-6.html
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
6759,5504,737,518

Source,Followers,Date,Interactions,Post Type,Link
The New York Times,17951980,Mon Jul 25 2022 21:07:06 GMT+0000,3532,Facebook,https://www.facebook.com/5281959998/posts/10152966570234999
Restoring Sanity Group,12745,Mon Jul 25 2022 21:05:09 GMT+0000,8,Facebook,https://www.facebook.com/groups/1356097811163709/permalink/5218891021551016
Joe Biden for President,10250,Tue Jul 26 2022 02:27:26 GMT+0000,3,Facebook,https://www.facebook.com/groups/382633808973511/permalink/1196847124218838
Democratic Activists Together,7308,Mon Jul 25 2022 21:21:13 GMT+0000,3,Facebook,https://www.facebook.com/100069127243214/posts/356085166705722
PCGV Press Group,690,Mon Jul 25 2022 22:57:55 GMT+0000,3,Facebook,https://www.facebook.com/groups/519358395093738/permalink/1693608477668718
Political Ignorance Be Damned,2040,Mon Jul 25 2022 21:17:12 GMT+0000,2,Facebook,https://www.facebook.com/groups/171418873214424/permalink/1688301034859526
United for Bernie II Progressive News,44919,Mon Jul 25 2022 21:40:17 GMT+0000,1,Facebook,https://www.facebook.com/100064425054900/posts/424238929733605
Chattanooga News & Review (CNR),4913,Mon Jul 25 2022 22:05:37 GMT+0000,0,Facebook,https://www.facebook.com/groups/195095547202368/permalink/5576719322373270
Labor and Politics,11044,Tue Jul 26 2022 02:26:59 GMT+0000,0,Facebook,https://www.facebook.com/groups/168120759870505/permalink/6018097171539472
Boomers & Others for Progressive Reform,9539,Tue Jul 26 2022 02:26:11 GMT+0000,0,Facebook,https://www.facebook.com/groups/1641473042759456/permalink/3272999829606761
Clinton County Illinois Democrats,666,Mon Jul 25 2022 21:13:31 GMT+0000,0,Facebook,https://www.facebook.com/100068939178674/posts/360108432963793
Uncensored Amador/Calaveras Community Discussions,7171,Mon Jul 25 2022 23:12:13 GMT+0000,0,Facebook,https://www.facebook.com/groups/478428692332767/permalink/2246636758845276
Greene County Democratic Committee,1081,Mon Jul 25 2022 21:06:32 GMT+0000,0,Facebook,https://www.facebook.com/100064389535612/posts/414290637393917
