Link: https://www.nytimes.com/2022/07/25/us/politics/marc-short-pence-jan-6.html
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
6759,5504,737,518

Source,Followers,Date,Interactions,Post Type,Link
Laurence Tribe,1331678,Mon Jul 25 2022 21:28:52 GMT+0000,4725,Twitter,https://twitter.com/tribelaw/status/1551680911959261184
Maggie Haberman,1693817,Tue Jul 26 2022 01:56:42 GMT+0000,1002,Twitter,https://twitter.com/maggieNYT/status/1551748313099255808
Alan Feuer,45976,Mon Jul 25 2022 20:46:54 GMT+0000,565,Twitter,https://twitter.com/alanfeuer/status/1551670348621520896
Maggie Haberman,1693817,Mon Jul 25 2022 21:00:54 GMT+0000,507,Twitter,https://twitter.com/maggieNYT/status/1551673873644527618
Laura Rozen,173988,Tue Jul 26 2022 01:12:16 GMT+0000,274,Twitter,https://twitter.com/lrozen/status/1551737132477079553
Ryan Goodman,153842,Mon Jul 25 2022 21:42:26 GMT+0000,240,Twitter,https://twitter.com/rgoodlaw/status/1551684323857899527
Maggie Haberman,1693817,Mon Jul 25 2022 21:41:56 GMT+0000,107,Twitter,https://twitter.com/maggieNYT/status/1551684198045552640
Rhonda Harbison,37211,Mon Jul 25 2022 21:25:20 GMT+0000,47,Twitter,https://twitter.com/rhonda_harbison/status/1551680022271893505
Tony 🌊 #DemVoice1,31293,Tue Jul 26 2022 00:24:16 GMT+0000,40,Twitter,https://twitter.com/TonyHussein4/status/1551725051942158336
Jeffrey Levin 🇺🇦,648161,Tue Jul 26 2022 00:50:49 GMT+0000,39,Twitter,https://twitter.com/jilevin/status/1551731732625358848
Steve Herman,112302,Tue Jul 26 2022 01:54:03 GMT+0000,18,Twitter,https://twitter.com/W7VOA/status/1551747644736905217
WAKE UP AMERICA,2062,Mon Jul 25 2022 21:06:15 GMT+0000,10,Twitter,https://twitter.com/ClaudineR66/status/1551675217113583616
John FitzGerald,8540,Mon Jul 25 2022 22:21:23 GMT+0000,6,Twitter,https://twitter.com/TheTweetOfJohn/status/1551694127766446080
Tommy Lightfoot Garrett,2487,Mon Jul 25 2022 22:16:24 GMT+0000,6,Twitter,https://twitter.com/LightfootInHwd/status/1551692872050741251
Russell Greene,1614,Mon Jul 25 2022 23:25:00 GMT+0000,5,Twitter,https://twitter.com/MaggottyBread/status/1551710136493809665
Amir Attaran,14891,Mon Jul 25 2022 23:25:55 GMT+0000,4,Twitter,https://twitter.com/profamirattaran/status/1551710365561397250
DrDAMA2Spirits PhD,5684,Mon Jul 25 2022 22:38:20 GMT+0000,4,Twitter,https://twitter.com/Dama2Spirits/status/1551698393986400256
marina catucci,4597,Mon Jul 25 2022 21:22:15 GMT+0000,4,Twitter,https://twitter.com/marina_catucci/status/1551679246606766080
bobs,10188,Mon Jul 25 2022 21:19:20 GMT+0000,4,Twitter,https://twitter.com/1983resist/status/1551678512167354369
Ⓜ️Ⓜ️ Lauren Ash Davis - OG Meidas Mighty 🇺🇦🌻☮️,8650,Tue Jul 26 2022 00:10:27 GMT+0000,3,Twitter,https://twitter.com/Meidas_LaurenA/status/1551721573790339072
UnKnown Quantity🏳️‍🌈🌊🌊🌊,23180,Mon Jul 25 2022 21:22:57 GMT+0000,3,Twitter,https://twitter.com/ReverseKarma11/status/1551679422679240705
Yuri Rivas,2784,Mon Jul 25 2022 21:17:42 GMT+0000,3,Twitter,https://twitter.com/YuriRiv02558750/status/1551678098030137348
Stephen Spaulding,7625,Mon Jul 25 2022 21:13:47 GMT+0000,3,Twitter,https://twitter.com/SteveESpaulding/status/1551677114017103872
Social✽Fly,10674,Mon Jul 25 2022 21:10:36 GMT+0000,3,Twitter,https://twitter.com/socflyny/status/1551676313576013825
democracy is on the ballot voting +women rights,13733,Tue Jul 26 2022 01:13:39 GMT+0000,2,Twitter,https://twitter.com/savetheturtles2/status/1551737477152608263
Bonnie Trachtenberg,13738,Tue Jul 26 2022 00:36:32 GMT+0000,2,Twitter,https://twitter.com/writebrainedny/status/1551728139151319040
curiouser&curiouser 🤔,3102,Mon Jul 25 2022 23:27:28 GMT+0000,2,Twitter,https://twitter.com/thirst4knowldge/status/1551710757334695936
margie connell ☮️,1854,Mon Jul 25 2022 23:02:02 GMT+0000,2,Twitter,https://twitter.com/margiemarinari/status/1551704358018072577
Joe Frohlinger,1110,Mon Jul 25 2022 22:25:35 GMT+0000,2,Twitter,https://twitter.com/joefrohlinger/status/1551695183393300481
Current Status,1525,Mon Jul 25 2022 21:47:37 GMT+0000,2,Twitter,https://twitter.com/currentstatus/status/1551685630308016128
Michelle Ponce Mazuros 😷🇺🇲,1424,Mon Jul 25 2022 21:37:51 GMT+0000,2,Twitter,https://twitter.com/MichelleMazuros/status/1551683169371521029
maggietime,604,Mon Jul 25 2022 20:46:10 GMT+0000,2,Twitter,https://twitter.com/maggiet1m3/status/1551670162897657862
Allan Bassett,737,Tue Jul 26 2022 03:25:17 GMT+0000,1,Twitter,https://twitter.com/AllanBassett1/status/1551770605992611840
Michael Sweeney,1502,Tue Jul 26 2022 03:15:49 GMT+0000,1,Twitter,https://twitter.com/MichaelTSweene1/status/1551768224320180224
KFH 🇺🇸😎🍻🐎🐕🌊,5470,Tue Jul 26 2022 03:07:36 GMT+0000,1,Twitter,https://twitter.com/rileysdad6419/status/1551766156612173824
CC Stone💙🌈🌏😎😉😘,5509,Tue Jul 26 2022 01:36:25 GMT+0000,1,Twitter,https://twitter.com/Ferrydogmother/status/1551743208928923648
Peter Clarke,4263,Tue Jul 26 2022 00:30:11 GMT+0000,1,Twitter,https://twitter.com/MediaActive/status/1551726539380666369
Latino Political Ave,10407,Mon Jul 25 2022 23:39:33 GMT+0000,1,Twitter,https://twitter.com/LatPoliticalAve/status/1551713797626220544
LuigiBOmalley2,335,Mon Jul 25 2022 23:35:25 GMT+0000,1,Twitter,https://twitter.com/LuigiOmalley2/status/1551712756700782592
Ben McRea 🇺🇦,24981,Mon Jul 25 2022 22:18:25 GMT+0000,1,Twitter,https://twitter.com/Ben_McRea/status/1551693380647886848
JHWBB 🇺🇦,3317,Mon Jul 25 2022 22:02:03 GMT+0000,1,Twitter,https://twitter.com/JaneHWBB/status/1551689261208010754
Freida’s Boss,200,Mon Jul 25 2022 21:58:39 GMT+0000,1,Twitter,https://twitter.com/CtownBnnaPantz/status/1551688405536444422
Larry O. Dean,850,Mon Jul 25 2022 21:53:24 GMT+0000,1,Twitter,https://twitter.com/larryodean/status/1551687083982479361
The Ditty Committee,247,Mon Jul 25 2022 21:51:16 GMT+0000,1,Twitter,https://twitter.com/dittycommittee/status/1551686548537614336
Karen Dern,256,Mon Jul 25 2022 21:51:07 GMT+0000,1,Twitter,https://twitter.com/KarenDern/status/1551686511552335874
Murf,5207,Mon Jul 25 2022 21:45:58 GMT+0000,1,Twitter,https://twitter.com/MurfAD/status/1551685213041803264
Mistral Wind 🇺🇸,976,Mon Jul 25 2022 21:42:34 GMT+0000,1,Twitter,https://twitter.com/LeMistralWind/status/1551684357219356674
Barbara Pflughaupt,1882,Mon Jul 25 2022 21:28:07 GMT+0000,1,Twitter,https://twitter.com/Ballyhoo/status/1551680720573272065
undercoverofdarkness,13731,Mon Jul 25 2022 21:13:28 GMT+0000,1,Twitter,https://twitter.com/steven_jessup/status/1551677035323437056
American Coup Fighter First Class,2748,Mon Jul 25 2022 21:10:33 GMT+0000,1,Twitter,https://twitter.com/Wildcatalum/status/1551676301232295939
Christy Miller 🇺🇸💕💙💕💙,2027,Mon Jul 25 2022 21:08:30 GMT+0000,1,Twitter,https://twitter.com/ChristyMillerD/status/1551675785441861637
𝙳𝚛. 𝙼𝚊𝚛𝚒𝚊 𝙸. 𝙿𝚞𝚎𝚛𝚝𝚊 𝚁𝚒𝚎𝚛𝚊 🌻,24626,Tue Jul 26 2022 03:23:02 GMT+0000,0,Twitter,https://twitter.com/Maripuerta/status/1551770041208786944
Lisa McRee,2058,Tue Jul 26 2022 03:04:58 GMT+0000,0,Twitter,https://twitter.com/Lisa_McRee/status/1551765490770489344
Elaine Barber,667,Tue Jul 26 2022 03:03:18 GMT+0000,0,Twitter,https://twitter.com/Lainey_Classy/status/1551765072741023744
Jim Williams,44,Tue Jul 26 2022 02:41:01 GMT+0000,0,Twitter,https://twitter.com/JimWill74380031/status/1551759463350255616
The New Alaafin Of Oyo 🇳🇬🇺🇸 阿德耶米·亞當斯,536,Tue Jul 26 2022 02:18:10 GMT+0000,0,Twitter,https://twitter.com/NewAlaafinOyo/status/1551753713483714562
Jim Williams,44,Tue Jul 26 2022 02:11:42 GMT+0000,0,Twitter,https://twitter.com/JimWill74380031/status/1551752086802636801
Hannah Kennison,298,Tue Jul 26 2022 02:10:34 GMT+0000,0,Twitter,https://twitter.com/HannahKennison1/status/1551751801711562752
No Lies Radio,774,Tue Jul 26 2022 02:05:33 GMT+0000,0,Twitter,https://twitter.com/NoLiesRadio/status/1551750538886189056
Jim Williams,44,Tue Jul 26 2022 02:05:08 GMT+0000,0,Twitter,https://twitter.com/JimWill74380031/status/1551750434070593538
Jim Williams,44,Tue Jul 26 2022 02:02:33 GMT+0000,0,Twitter,https://twitter.com/JimWill74380031/status/1551749786226892800
Cinema Sam Park,175,Tue Jul 26 2022 02:00:47 GMT+0000,0,Twitter,https://twitter.com/SamPark40354229/status/1551749342343483392
Allie Warren,1061,Tue Jul 26 2022 01:07:38 GMT+0000,0,Twitter,https://twitter.com/AlWarren18/status/1551735966649516034
Aberdeen SouthDakota,237,Tue Jul 26 2022 01:05:35 GMT+0000,0,Twitter,https://twitter.com/AberdeenSouthDa/status/1551735447675473920
CleanElectionsTexas,773,Tue Jul 26 2022 01:00:45 GMT+0000,0,Twitter,https://twitter.com/CETexas/status/1551734234443923459
RetiredArmyColonel,394,Tue Jul 26 2022 00:58:30 GMT+0000,0,Twitter,https://twitter.com/SamWallace907/status/1551733665612214274
Carlos F. Camargo  Ph.D.,119,Tue Jul 26 2022 00:54:05 GMT+0000,0,Twitter,https://twitter.com/CarlosFCamargo1/status/1551732556126597120
Pam Fortuna,45,Tue Jul 26 2022 00:51:54 GMT+0000,0,Twitter,https://twitter.com/PamFortuna1/status/1551732006089801729
Jean Radtke,49,Tue Jul 26 2022 00:44:51 GMT+0000,0,Twitter,https://twitter.com/jeanradtke/status/1551730231773364224
Abrogator - Abolish and Annul any & all Corruption,934,Tue Jul 26 2022 00:35:57 GMT+0000,0,Twitter,https://twitter.com/TheAbrogator/status/1551727991461404673
Today's News,525,Tue Jul 26 2022 00:33:39 GMT+0000,0,Twitter,https://twitter.com/jlitwinetz/status/1551727412282785792
Servelan (fighting fascism is job#1) 🇺🇸,2481,Tue Jul 26 2022 00:28:45 GMT+0000,0,Twitter,https://twitter.com/Servelan/status/1551726179907866624
Bob Levine,1,Tue Jul 26 2022 00:23:57 GMT+0000,0,Twitter,https://twitter.com/BobLevine19/status/1551724970090188801
Berkley Bear,1806,Tue Jul 26 2022 00:19:39 GMT+0000,0,Twitter,https://twitter.com/BerkleyBearNews/status/1551723889956306945
Angela Torres,2405,Tue Jul 26 2022 00:15:22 GMT+0000,0,Twitter,https://twitter.com/Aspies123/status/1551722812473212928
Watchdog Progressive,11538,Tue Jul 26 2022 00:14:42 GMT+0000,0,Twitter,https://twitter.com/Watchdogsniffer/status/1551722644591898625
Brenda Johnson,2113,Tue Jul 26 2022 00:06:32 GMT+0000,0,Twitter,https://twitter.com/TucsonVoice28/status/1551720587961126913
Mark Verrillo,82,Tue Jul 26 2022 00:03:10 GMT+0000,0,Twitter,https://twitter.com/mverrillo/status/1551719740732649472
tim schreier,848,Mon Jul 25 2022 23:57:25 GMT+0000,0,Twitter,https://twitter.com/timschreiernyc/status/1551718292024352769
Marshall Maher,1694,Mon Jul 25 2022 23:50:26 GMT+0000,0,Twitter,https://twitter.com/marvelle/status/1551716537505001472
Editing TheGrayLady,59621,Mon Jul 25 2022 23:48:28 GMT+0000,0,Twitter,https://twitter.com/nyt_diff/status/1551716040845004800
Noble J,1159,Mon Jul 25 2022 23:29:54 GMT+0000,0,Twitter,https://twitter.com/iii_ns/status/1551711367966498816
Tony Whitsett,369,Mon Jul 25 2022 23:21:41 GMT+0000,0,Twitter,https://twitter.com/Tony98Tony/status/1551709303236608002
Слава Україні 🇺🇸 💛 🇺🇦 🌻,975,Mon Jul 25 2022 23:20:10 GMT+0000,0,Twitter,https://twitter.com/millerjmg/status/1551708919847845889
Frequentia,2307,Mon Jul 25 2022 23:14:16 GMT+0000,0,Twitter,https://twitter.com/frequentia/status/1551707436649795584
Brooke22 🇺🇸🌊💙🇺🇸,5326,Mon Jul 25 2022 23:05:00 GMT+0000,0,Twitter,https://twitter.com/J0Y_88/status/1551705101118672896
karen langsam,1523,Mon Jul 25 2022 23:03:42 GMT+0000,0,Twitter,https://twitter.com/karen_langsam/status/1551704776118763526
Dale Newton,2564,Mon Jul 25 2022 23:00:56 GMT+0000,0,Twitter,https://twitter.com/TheWrongRight1/status/1551704080577339393
Randyluv,464,Mon Jul 25 2022 22:57:41 GMT+0000,0,Twitter,https://twitter.com/Randyluv5/status/1551703263011131395
Silas Webster 🇺🇸🌹,1610,Mon Jul 25 2022 22:55:26 GMT+0000,0,Twitter,https://twitter.com/OldSilasWebster/status/1551702695676809217
YUNG MARC,361,Mon Jul 25 2022 22:46:57 GMT+0000,0,Twitter,https://twitter.com/YUNGMARC2/status/1551700559580856321
Nancy Quinn,3622,Mon Jul 25 2022 22:41:03 GMT+0000,0,Twitter,https://twitter.com/nancyquinn/status/1551699077351579649
Desmo T,51,Mon Jul 25 2022 22:34:05 GMT+0000,0,Twitter,https://twitter.com/DesmoT6/status/1551697320923860992
Nellie R ☮️,506,Mon Jul 25 2022 22:18:00 GMT+0000,0,Twitter,https://twitter.com/emtfr/status/1551693275106516992
Brian C McCalla PE CEM CEP CDSM 🇺🇦✊🇾🇪,1145,Mon Jul 25 2022 22:13:30 GMT+0000,0,Twitter,https://twitter.com/McCallaPE/status/1551692142153711617
Sue Stone (standing with 🇺🇦),4326,Mon Jul 25 2022 22:11:20 GMT+0000,0,Twitter,https://twitter.com/knittingknots/status/1551691599142440960
Bill Wolfe,426,Mon Jul 25 2022 22:10:26 GMT+0000,0,Twitter,https://twitter.com/WolfeNotes/status/1551691370103914496
NYT Anonymous,5726,Mon Jul 25 2022 22:05:16 GMT+0000,0,Twitter,https://twitter.com/NYTAnon/status/1551690071115534336
Aberdeen SouthDakota,237,Mon Jul 25 2022 22:05:09 GMT+0000,0,Twitter,https://twitter.com/AberdeenSouthDa/status/1551690041407131648
memeorandum,10817,Mon Jul 25 2022 22:01:58 GMT+0000,0,Twitter,https://twitter.com/memeorandum/status/1551689238462078976
Susana Benavidez,14,Mon Jul 25 2022 21:57:33 GMT+0000,0,Twitter,https://twitter.com/pdb112575/status/1551688128464838656
judy gitlin,124,Mon Jul 25 2022 21:57:16 GMT+0000,0,Twitter,https://twitter.com/heyjudenyc/status/1551688057707003909
Democratic Dom,2885,Mon Jul 25 2022 21:56:43 GMT+0000,0,Twitter,https://twitter.com/domvito61/status/1551687919919931396
Blue,23,Mon Jul 25 2022 21:56:00 GMT+0000,0,Twitter,https://twitter.com/bluheart4ever/status/1551687737278881792
Mick Strongin,225,Mon Jul 25 2022 21:44:59 GMT+0000,0,Twitter,https://twitter.com/MickStrongin/status/1551684968203448320
John Goodman,832,Mon Jul 25 2022 21:44:43 GMT+0000,0,Twitter,https://twitter.com/JohnLGoodman/status/1551684899668647936
CDelta55,7,Mon Jul 25 2022 21:43:21 GMT+0000,0,Twitter,https://twitter.com/CDelta55/status/1551684554834038786
Fermin Finizio,1156,Mon Jul 25 2022 21:38:41 GMT+0000,0,Twitter,https://twitter.com/ferminfini/status/1551683379451641864
Mike Shupp,610,Mon Jul 25 2022 21:38:37 GMT+0000,0,Twitter,https://twitter.com/MikeShupp/status/1551683362208813057
Bitch Republic,8638,Mon Jul 25 2022 21:26:53 GMT+0000,0,Twitter,https://twitter.com/BitchR/status/1551680410551287810
123 INFO USA,243,Mon Jul 25 2022 21:25:09 GMT+0000,0,Twitter,https://twitter.com/123_INFO_USA/status/1551679975610359810
Vladimir Putsout,17,Mon Jul 25 2022 21:24:02 GMT+0000,0,Twitter,https://twitter.com/FromRus26549265/status/1551679694004965376
Bounty Of Beads (BAN ASSAULT WEAPONS NOWNOW 🧡),3425,Mon Jul 25 2022 21:22:39 GMT+0000,0,Twitter,https://twitter.com/bountyofbeads2/status/1551679345067950083
