Link: https://www.nytimes.com/interactive/2021/01/14/climate/hottest-year-2020-global-map.html?action=click&module=Top%20Stories&pgtype=Homepage,,,,,
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments,,
1049,280,702,67,,
,,,,,
Source,Followers,Date,Interactions,Post Type,Link
Centrum Nauki Kopernik,233869,Thu Jan 14 2021 20:32:05 GMT+0000,15,Facebook,https://www.facebook.com/CentrumNaukiKopernik/posts/10157595903210178
Kitsap Environmental Coalition,1058,Thu Jan 14 2021 20:49:31 GMT+0000,3,Facebook,https://www.facebook.com/groups/511844312592472/permalink/1128726564237574
The Climate Reality Project - Chicago  IL Chapter,706,Thu Jan 14 2021 18:19:49 GMT+0000,2,Facebook,https://www.facebook.com/CRPChicagoChapter/posts/2840294352957285
Elders Climate Action_NorCal Chapter,1044,Thu Jan 14 2021 21:08:53 GMT+0000,1,Facebook,https://www.facebook.com/854990971345441/posts/1755047008006495
Sociology of Climate Change,116,Thu Jan 14 2021 19:06:13 GMT+0000,0,Facebook,https://www.facebook.com/SociolgyOfClimateChange/posts/4138262889534994
Climate Realism,44,Thu Jan 14 2021 18:03:33 GMT+0000,0,Facebook,https://www.facebook.com/ClimateRealism/posts/4804559642905363
Idaho March For Science,2500,Thu Jan 14 2021 17:15:19 GMT+0000,0,Facebook,https://www.facebook.com/groups/251955741912871/permalink/1111549579286812
Climate Citizen,49303,Thu Jan 14 2021 18:27:36 GMT+0000,0,Facebook,https://www.facebook.com/climatecitizen/posts/885079538894383
NJ Climate Change Initiative,87,Thu Jan 14 2021 22:12:41 GMT+0000,0,Facebook,https://www.facebook.com/njclimatechangeinitiative/posts/3661521973961946
EarthEmail.org,94,Thu Jan 14 2021 16:13:37 GMT+0000,0,Facebook,https://www.facebook.com/EarthEmail/posts/419915749435269
